taxon	min	max
Dolichoderus_zherichini	33.9	38
Elaeomyrmex_coloradensis	33.9	37.2
Elaeomyrmex_gracilis	33.9	37.2
Elaphrodites_mutatus	11.608	15.97
Elaphrodites_scutulatus	11.608	15.97
Eldermyrmex_oblongiceps	33.9	38
Electromyrmex_klebsi	33.9	38
Emplastus_antiquus	11.608	12.7
Emplastus_biamoensis	33.9	38
Emplastus_britannicus	33.9	38
Emplastus_dubius	11.608	12.7
Emplastus_elongatus	33.9	38
Emplastus_gurnetensis	33.9	38
Emplastus_haueri	11.608	12.7
Emplastus_hypolithus	33.9	38
Emplastus_kozlovi	33.9	38
Emplastus_macrops	33.9	38
Emplastus_miocenicus	11.608	12.7
Emplastus_ocellus	11.608	12.7
Eotapinoma_gracilis	41.3	47.8
Eotapinoma_macalpini	70.6	83.5
Eurymyrmex_geologicus	11.608	15.97
Forelius	15.97	23.03
Gracilidris_humiloides	13.82	20.44
Iridomyrmex	38	41.3
Iridomyrmex_shandongicus	11.608	15.97
Kotshkorkia_laticeps	5.333	15.97
Ktunaxia_jucunda	41.3	47.8
Leptomyrmex_neotropicus	13.82	20.44
Leptomyrmula_maravignae	5.333	11.608
Linepithema	13.82	20.44
Liometopum	11.608	12.7
Liometopum_bogdassarovi	33.9	38
Liometopum_eremicum	11.608	15.97
Liometopum_imhoffii	11.608	12.7
Liometopum_incognitum	33.9	38
Liometopum_lubricum	11.608	15.97
Liometopum_miocenicum	33.9	37.2
Liometopum_oligocenicum	33.9	38
Liometopum_potamophilum	11.608	15.97
Liometopum_scudderi	33.9	37.2
Miomyrmex_impactus	33.9	37.2
Miomyrmex_striatus	33.9	37.2
Petraeomyrmex_minimus	33.9	37.2
Proiridomyrmex_rotundatus	41.3	47.8
Proiridomyrmex_vetulus	46.2	50.3
Protazteca_capitata	33.9	37.2
Protazteca_elongata	33.9	37.2
Protazteca_eocenica	41.3	47.8
Protazteca_hendersoni	33.9	37.2
Protazteca_quadrata	33.9	37.2
Tapinoma	5.333	11.608
Tapinoma_aberrans	33.9	38
Tapinoma_baculum	11.608	15.97
Tapinoma_electrinum	33.9	38
Tapinoma_minutissimum	5.333	11.608
Tapinoma_troche	13.82	20.44
